release_date,title,speaker
2005-11-15,Nomination hearing,Ben S. Bernanke
2006-02-15,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2006-03-01,Regulatory relief,Governor Donald L. Kohn
2006-04-27,Outlook of the U.S.  economy,Chairman Ben S. Bernanke
2006-05-16,The Role of Hedge Funds in the Capital Market,"Patrick M. Parkinson, Deputy Director, Division of Research and Statistics"
2006-05-23,Financial literacy,Chairman Ben S. Bernanke
2006-06-08,Nomination as Vice Chairman to the Board,Governor Donald L. Kohn
2006-06-13,Home Mortgage Disclosure Act,Governor Mark W. Olson
2006-07-12,Industrial loan companies,"Scott G. Alvarez, General Counsel"
2006-07-19,Coin and currency issues,"Louise L. Roseman, Director, Division of Reserve Bank Operations and Payment Systems"
2006-07-19,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2006-09-14,Basel II and commercial real estate,Governor Susan Schmidt Bies
2006-09-20,Non-traditional mortgage products,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2006-09-26,Basel II,Governor Susan Schmidt Bies
2007-01-18,Long-term fiscal challenges facing the United States,Chairman Ben S. Bernanke
2007-02-14,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2007-02-28,The aging workforce,Vice Chairman Donald L. Kohn
2007-02-28,Long-term fiscal challenges and the economy,Chairman Ben S. Bernanke
2007-03-22,Subprime mortgage market,"Roger T. Cole, Director, Division of Banking Supervision and Regulation"
2007-03-27,Subprime mortgages,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2007-03-28,The economic outlook,Chairman Ben S. Bernanke
2007-04-25,Industrial loan companies,Vice Chairman Donald L. Kohn
2007-05-21,"Bank mergers, Community Reinvestment Act enforcement, subprime mortgage lending, and foreclosures","Sandra Braunstein, Director, Division of Consumer and Community Affairs"
2007-06-07,Credit card disclosures,Governor Frederic S. Mishkin
2007-06-13,The role of federal banking agencies in strengthening federal financial consumer protection,Governor Randall S. Kroszner
2007-06-19,Consumer credit reports,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2007-07-11,Hedge funds,Governor Kevin Warsh
2007-07-18,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2007-07-25,Fair lending and the Home Mortgage Disclosure Act,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2007-08-02,Renomination to the Board ,Governor Randall S. Kroszner
2007-09-20,Subprime mortgage lending and mitigating foreclosures,Chairman Ben S. Bernanke
2007-10-04,Industrial loan companies ,"Scott G. Alvarez, General Counsel"
2007-10-24,Legislative proposals on reforming mortgage practices,Governor Randall S. Kroszner
2007-10-24,The Community Reinvestment Act and fair lending examination processes,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2007-10-30,Minority-owned banks,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2007-11-07,Availability of credit to small businesses,Governor Frederic S. Mishkin
2007-11-08,The economic outlook,Chairman Ben S. Bernanke
2007-12-06,Loan modifications and foreclosure prevention ,Governor Randall S. Kroszner
2007-12-12,The Financial Consumer Hotline Act of 2007,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2008-01-17,The economic outlook,Chairman Ben S. Bernanke
2008-02-13,The Community Reinvestment Act,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2008-02-14,Bond insurance,"Patrick M. Parkinson, Deputy Director, Division of Research and Statistics"
2008-02-14,The economy and financial markets,Chairman Ben S. Bernanke
2008-02-27,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2008-03-04,Condition of the U.S. banking system,Vice Chairman Donald L. Kohn
2008-03-05,Sovereign wealth funds,"Scott G. Alvarez, General Counsel"
2008-04-02,The economic outlook,Chairman Ben S. Bernanke
2008-04-02,Internet gambling,"Louise L. Roseman, Director, Division of Reserve Bank Operations and Payment Systems"
2008-04-03,Developments in the financial markets,Chairman Ben S. Bernanke
2008-04-09,Federal Housing Administration Housing Stabilization and Homeownership Act,Governor Randall S. Kroszner
2008-04-15,Financial literacy,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2008-04-16,Small business lending,Governor Frederic S. Mishkin
